SOLUTION
3 n035w4

ASSIGNMENTS = 137
HN_0 Tue Day Caretaker
HN_0 Wed Day Nurse
HN_0 Thu Day Caretaker
HN_0 Fri Early Nurse
HN_1 Mon Night Nurse
HN_1 Tue Night HeadNurse
HN_1 Sat Day Caretaker
HN_1 Sun Day Nurse
HN_2 Wed Late Caretaker
HN_2 Thu Late Nurse
HN_2 Fri Late HeadNurse
HN_3 Mon Day Caretaker
HN_3 Tue Late Nurse
HN_3 Wed Late Nurse
HN_4 Tue Late HeadNurse
HN_4 Wed Late HeadNurse
HN_4 Thu Late Caretaker
HN_5 Mon Early HeadNurse
HN_5 Tue Early HeadNurse
HN_5 Wed Early HeadNurse
HN_5 Sun Late HeadNurse
NU_6 Mon Night Caretaker
NU_6 Tue Night Nurse
NU_6 Sat Night Nurse
NU_6 Sun Night Nurse
NU_7 Mon Early Nurse
NU_7 Fri Early Caretaker
NU_7 Sat Early Caretaker
NU_7 Sun Early Caretaker
NU_8 Mon Late Nurse
NU_8 Tue Late Nurse
NU_8 Wed Night Caretaker
NU_8 Thu Night Nurse
NU_8 Fri Night Nurse
NU_9 Mon Early Caretaker
NU_9 Tue Night Nurse
NU_9 Wed Night Nurse
NU_9 Fri Late Caretaker
NU_9 Sat Late Caretaker
NU_9 Sun Late Nurse
NU_10 Mon Day Nurse
NU_10 Tue Day Caretaker
NU_10 Wed Early Nurse
NU_10 Thu Early Nurse
NU_11 Wed Early Caretaker
NU_11 Thu Late Nurse
NU_11 Fri Late Caretaker
NU_12 Wed Day Caretaker
NU_12 Thu Late Caretaker
NU_12 Fri Late Nurse
NU_13 Mon Early Caretaker
NU_13 Tue Early Nurse
NU_13 Sat Early Nurse
NU_13 Sun Early Nurse
NU_14 Tue Day Nurse
NU_14 Wed Day Nurse
NU_14 Thu Day Nurse
NU_14 Fri Day Caretaker
NU_15 Mon Early Caretaker
NU_15 Tue Early Caretaker
NU_15 Fri Day Nurse
NU_15 Sat Day Nurse
NU_15 Sun Night Nurse
NU_16 Wed Day Caretaker
NU_16 Thu Day Caretaker
NU_16 Fri Late Caretaker
NU_16 Sat Late Nurse
NU_16 Sun Night Caretaker
CT_17 Mon Early Caretaker
CT_17 Tue Early Caretaker
CT_17 Wed Night Caretaker
CT_17 Thu Night Caretaker
CT_17 Fri Night Caretaker
CT_18 Mon Late Caretaker
CT_18 Tue Late Caretaker
CT_18 Wed Night Caretaker
CT_18 Thu Night Caretaker
CT_18 Fri Night Caretaker
CT_19 Mon Day Caretaker
CT_19 Tue Day Caretaker
CT_19 Wed Early Caretaker
CT_20 Mon Day Caretaker
CT_20 Tue Late Caretaker
CT_20 Wed Late Caretaker
CT_20 Thu Late Caretaker
CT_20 Fri Late Caretaker
CT_21 Wed Day Caretaker
CT_21 Thu Day Caretaker
CT_21 Fri Early Caretaker
CT_22 Mon Early Caretaker
CT_22 Tue Early Caretaker
CT_22 Sat Day Caretaker
CT_22 Sun Day Caretaker
CT_23 Mon Late Caretaker
CT_23 Tue Late Caretaker
CT_24 Mon Night Caretaker
CT_24 Tue Night Caretaker
CT_24 Wed Night Caretaker
CT_24 Sat Late Caretaker
CT_24 Sun Late Caretaker
CT_25 Mon Late Caretaker
CT_25 Thu Early Caretaker
CT_25 Fri Early Caretaker
CT_25 Sat Night Caretaker
CT_25 Sun Night Caretaker
CT_26 Tue Night Caretaker
CT_26 Wed Night Caretaker
CT_26 Thu Night Caretaker
CT_27 Wed Early Caretaker
CT_27 Thu Early Caretaker
CT_27 Fri Day Caretaker
CT_28 Mon Late Caretaker
CT_28 Tue Late Caretaker
CT_28 Wed Late Caretaker
TR_29 Mon Late Trainee
TR_29 Tue Late Trainee
TR_29 Wed Late Trainee
TR_29 Sat Early Trainee
TR_29 Sun Early Trainee
TR_30 Mon Night Trainee
TR_30 Tue Night Trainee
TR_30 Fri Day Trainee
TR_30 Sat Day Trainee
TR_30 Sun Day Trainee
TR_31 Mon Day Trainee
TR_31 Fri Late Trainee
TR_31 Sat Late Trainee
TR_31 Sun Night Trainee
TR_32 Wed Day Trainee
TR_32 Thu Day Trainee
TR_32 Fri Early Trainee
TR_33 Mon Night Trainee
TR_33 Tue Night Trainee
TR_33 Wed Night Trainee
TR_33 Thu Night Trainee
TR_34 Mon Early Trainee
TR_34 Tue Day Trainee

