SOLUTION
2 n070w8

ASSIGNMENTS = 256
HN_0 Mon Late HeadNurse
HN_0 Tue Late Nurse
HN_1 Mon Early Nurse
HN_1 Tue Day HeadNurse
HN_1 Wed Day HeadNurse
HN_1 Sat Early HeadNurse
HN_1 Sun Early Nurse
HN_2 Fri Late HeadNurse
HN_2 Sat Late Nurse
HN_2 Sun Late HeadNurse
HN_3 Mon Night HeadNurse
HN_3 Wed Night HeadNurse
HN_3 Thu Night HeadNurse
HN_3 Fri Night Nurse
HN_4 Thu Early HeadNurse
HN_4 Fri Early HeadNurse
HN_4 Sat Night HeadNurse
HN_4 Sun Night Nurse
HN_5 Mon Early HeadNurse
HN_5 Tue Early Nurse
HN_6 Mon Late Nurse
HN_6 Tue Late HeadNurse
HN_7 Tue Day Nurse
HN_7 Wed Day Nurse
HN_7 Thu Day Nurse
HN_7 Fri Day Nurse
NU_8 Wed Day Caretaker
NU_8 Thu Day Nurse
NU_8 Fri Day Nurse
NU_8 Sat Day Nurse
NU_8 Sun Day Nurse
NU_9 Mon Late Caretaker
NU_9 Tue Late Caretaker
NU_9 Wed Late Caretaker
NU_9 Thu Late Caretaker
NU_10 Thu Night Nurse
NU_10 Fri Night Caretaker
NU_10 Sat Night Nurse
NU_10 Sun Night Caretaker
NU_11 Mon Night Nurse
NU_11 Tue Night Caretaker
NU_11 Wed Night Nurse
NU_11 Sat Late Caretaker
NU_11 Sun Late Nurse
NU_12 Mon Day Caretaker
NU_12 Tue Day Nurse
NU_13 Mon Late Caretaker
NU_14 Mon Day Nurse
NU_14 Tue Day Nurse
NU_14 Fri Night Nurse
NU_14 Sat Night Nurse
NU_14 Sun Night Caretaker
NU_15 Fri Late Nurse
NU_15 Sat Late Caretaker
NU_15 Sun Late Caretaker
NU_16 Mon Early Nurse
NU_16 Tue Early Caretaker
NU_16 Wed Early Caretaker
NU_17 Mon Night Caretaker
NU_17 Tue Night Nurse
NU_17 Wed Night Caretaker
NU_17 Thu Night Caretaker
NU_18 Mon Early Caretaker
NU_18 Tue Early Caretaker
NU_18 Wed Early Caretaker
NU_18 Fri Early Nurse
NU_18 Sat Early Nurse
NU_18 Sun Early Caretaker
NU_19 Mon Day Caretaker
NU_19 Tue Day Caretaker
NU_19 Wed Day Caretaker
NU_19 Thu Day Caretaker
NU_19 Fri Day Nurse
NU_20 Tue Early Nurse
NU_20 Wed Early Nurse
NU_20 Thu Early Caretaker
NU_20 Fri Early Nurse
NU_21 Mon Late Caretaker
NU_21 Tue Late Nurse
NU_21 Wed Late Nurse
NU_21 Thu Late Nurse
