SOLUTION
2 n035w4

ASSIGNMENTS = 135
HN_0 Mon Night Nurse
HN_0 Tue Night Nurse
HN_0 Wed Night Nurse
HN_1 Mon Day Nurse
HN_1 Tue Day Nurse
HN_1 Wed Day Nurse
HN_1 Thu Early Caretaker
HN_1 Fri Early Caretaker
HN_2 Mon Late Caretaker
HN_2 Tue Late HeadNurse
HN_3 Thu Day HeadNurse
HN_3 Fri Day Nurse
HN_3 Sat Late HeadNurse
HN_3 Sun Late Nurse
HN_5 Mon Night HeadNurse
HN_5 Tue Night Nurse
HN_5 Wed Night HeadNurse
HN_5 Thu Night Caretaker
HN_5 Fri Night HeadNurse
NU_6 Mon Early Nurse
NU_6 Tue Early Nurse
NU_6 Wed Late Caretaker
NU_6 Thu Late Caretaker
NU_6 Fri Late Nurse
NU_8 Mon Early Nurse
NU_8 Tue Early Nurse
NU_8 Wed Early Nurse
NU_8 Sat Night Nurse
NU_8 Sun Night Nurse
NU_9 Tue Night Caretaker
NU_9 Wed Night Nurse
NU_9 Thu Night Nurse
NU_9 Fri Night Nurse
NU_10 Thu Early Caretaker
NU_10 Fri Early Nurse
NU_10 Sat Early Nurse
NU_10 Sun Early Nurse
NU_11 Mon Early Caretaker
NU_11 Tue Late Nurse
NU_11 Wed Late Caretaker
NU_12 Mon Early Caretaker
NU_12 Tue Early Nurse
NU_12 Sat Late Nurse
NU_12 Sun Late Nurse
NU_13 Tue Late Nurse
NU_13 Wed Late Nurse
NU_13 Thu Late Nurse
NU_13 Fri Late Caretaker
NU_14 Mon Night Caretaker
NU_14 Thu Day Nurse
NU_14 Fri Night Caretaker
NU_15 Mon Late Nurse
NU_15 Tue Late Nurse
NU_15 Sat Day Nurse
NU_15 Sun Day Nurse
NU_16 Thu Early Nurse
NU_16 Fri Early Nurse
NU_16 Sat Night Caretaker
NU_16 Sun Night Nurse
CT_17 Mon Night Caretaker
CT_17 Tue Night Caretaker
CT_17 Wed Night Caretaker
CT_17 Thu Night Caretaker
CT_17 Fri Night Caretaker
CT_18 Mon Day Caretaker
CT_18 Tue Day Caretaker
CT_18 Wed Early Caretaker
CT_18 Thu Early Caretaker
CT_18 Fri Day Caretaker
CT_18 Sat Day Caretaker
CT_18 Sun Early Caretaker
CT_19 Tue Late Caretaker
CT_19 Fri Late Caretaker
CT_19 Sat Late Caretaker
CT_19 Sun Late Caretaker
CT_20 Mon Night Caretaker
CT_20 Tue Night Caretaker
CT_20 Wed Night Caretaker
CT_20 Thu Night Caretaker
CT_20 Fri Night Caretaker
CT_21 Mon Late Caretaker
CT_21 Tue Late Caretaker
CT_21 Wed Late Caretaker
CT_21 Sat Day Caretaker
CT_21 Sun Day Caretaker
CT_22 Mon Early Caretaker
CT_22 Thu Late Caretaker
CT_22 Fri Late Caretaker
CT_23 Thu Late Caretaker
CT_23 Fri Late Caretaker
CT_24 Wed Early Caretaker
CT_24 Thu Early Caretaker
CT_24 Fri Early Caretaker
CT_24 Sat Early Caretaker
CT_24 Sun Early Caretaker
CT_25 Mon Early Caretaker
CT_25 Tue Early Caretaker
CT_25 Wed Day Caretaker
CT_25 Thu Day Caretaker
CT_25 Fri Day Caretaker
CT_26 Mon Late Caretaker
CT_26 Tue Late Caretaker
CT_26 Wed Late Caretaker
CT_27 Mon Day Caretaker
CT_27 Tue Day Caretaker
CT_27 Wed Day Caretaker
CT_27 Thu Day Caretaker
CT_28 Mon Day Caretaker
CT_28 Tue Day Caretaker
CT_28 Wed Day Caretaker
CT_28 Thu Day Caretaker
TR_29 Mon Day Trainee
TR_29 Tue Day Trainee
TR_29 Wed Day Trainee
TR_30 Mon Day Trainee
TR_30 Tue Night Trainee
TR_30 Wed Night Trainee
TR_30 Thu Night Trainee
TR_30 Fri Night Trainee
TR_31 Mon Late Trainee
TR_31 Tue Late Trainee
TR_31 Wed Late Trainee
TR_32 Mon Night Trainee
TR_32 Thu Late Trainee
TR_32 Fri Late Trainee
TR_32 Sat Night Trainee
TR_32 Sun Night Trainee
TR_33 Mon Early Trainee
TR_33 Tue Early Trainee
TR_33 Sat Late Trainee
TR_33 Sun Late Trainee
TR_34 Thu Early Trainee
TR_34 Fri Early Trainee
TR_34 Sat Early Trainee
TR_34 Sun Day Trainee

